,Workload,Ranks,Stencil,Runtime
0,dgemm,256,32768,415.08524446
1,dgemm,256,0,415.85784803399997
2,dgemm,256,32768,416.71657503299997
3,dgemm,256,0,411.265209743
4,dgemm,256,32768,417.73088651999996
5,dgemm,256,0,412.28608309500004
6,dgemm,256,32768,418.30404209399995
7,dgemm,256,0,412.656930065
8,dgemm,256,0,413.151027105
9,dgemm,256,32768,419.427157209
10,dgemm,256,0,416.91435893600004
11,dgemm,256,32768,411.907318747
12,dgemm,256,32768,414.545987258
13,dgemm,256,0,414.135977262
14,dgemm,256,32768,417.24929448800003
15,dgemm,256,0,412.27748463
16,dgemm,256,32768,415.29709847600003
17,dgemm,256,0,421.041741642
18,dgemm,256,32768,412.968287588
19,dgemm,256,0,410.965981642
20,dgemm,256,32768,409.576787256
21,dgemm,256,0,409.65361944200004
22,dgemm,256,0,413.591701824
23,dgemm,256,32768,411.02362159099994
24,dgemm,256,32768,409.402092485
25,dgemm,256,0,406.912052033
26,dgemm,256,32768,415.63477362199995
27,dgemm,256,0,413.208834249
28,dgemm,256,32768,411.90004514099996
29,dgemm,256,0,412.321115683
30,dgemm,256,32768,413.430268082
31,dgemm,256,0,416.053689806
32,dgemm,256,32768,413.071488262
33,dgemm,256,0,418.75960773300005
34,dgemm,256,32768,414.84360165100003
35,dgemm,256,0,412.201821222
36,dgemm,256,32768,415.156700213
37,dgemm,256,0,411.771992402
38,dgemm,256,32768,416.97390201
39,dgemm,256,0,414.10411181499995
40,dgemm,512,32768,417.880474206
41,dgemm,512,0,418.12805883500005
42,dgemm,512,32768,415.573133479
43,dgemm,512,0,418.13549549699997
44,dgemm,512,32768,414.34126103999995
45,dgemm,512,0,419.96433451499996
46,dgemm,512,32768,423.943098612
47,dgemm,512,0,424.955887163
48,dgemm,512,32768,418.309670732
49,dgemm,512,0,412.56486947099995
50,dgemm,512,32768,417.013783083
51,dgemm,512,0,417.979058325
52,dgemm,512,32768,417.739528549
53,dgemm,512,0,414.938805818
54,dgemm,512,32768,416.172081057
55,dgemm,512,0,416.319688576
56,dgemm,512,32768,417.781907306
57,dgemm,512,0,418.97871759300006
58,dgemm,512,32768,411.4999234
59,dgemm,512,0,418.923762493
60,dgemm,1024,32768,404.637230956
61,dgemm,1024,0,417.216931722
62,dgemm,1024,32768,408.504857875
63,dgemm,1024,0,409.73417404400004
64,dgemm,1024,32768,411.25280400200006
65,dgemm,1024,0,409.02914015600004
66,dgemm,1024,32768,409.98476739899996
67,dgemm,1024,0,413.110687324
68,dgemm,1024,0,415.1771485
69,dgemm,1024,32768,415.48975437700005
70,dgemm,1024,32768,409.40840362
71,dgemm,1024,0,412.371392581
72,dgemm,1024,32768,416.18698848800005
73,dgemm,1024,0,419.03057747500003
74,dgemm,1024,32768,414.61107247399997
75,dgemm,1024,0,416.25440903
76,dgemm,1024,0,418.136766414
77,dgemm,1024,32768,412.240558918
78,dgemm,1024,32768,415.32595899300003
79,dgemm,1024,0,415.240133822
80,sleep,512,0,65.20272629600001
81,sleep,512,32768,65.256712206
82,sleep,512,32768,65.25587762100001
83,sleep,512,0,65.180560966
84,sleep,512,32768,65.271122042
85,sleep,512,0,65.175797302
86,sleep,512,32768,65.2619901
87,sleep,512,0,65.209097061
88,sleep,512,32768,65.271671594
89,sleep,512,0,65.20271324
90,sleep,1024,32768,66.38836194
91,sleep,1024,0,66.325105623
92,sleep,1024,32768,66.36489373
93,sleep,1024,0,66.328403547
94,sleep,1024,32768,66.37325463600001
95,sleep,1024,0,66.31663082700001
96,sleep,1024,32768,66.374250121
97,sleep,1024,0,66.303554264
98,sleep,1024,32768,66.37139384000001
99,sleep,1024,0,66.315175553
100,fwq,512,32768,90.48083684399998
101,fwq,512,0,90.043218185
102,fwq,512,32768,90.277534988
103,fwq,512,0,90.02133183400001
104,fwq,512,32768,90.33213753199999
105,fwq,512,0,89.943473252
106,fwq,512,32768,90.398788794
107,fwq,512,0,90.078292486
108,fwq,512,32768,90.158963132
109,fwq,512,0,89.911787833
110,fwq,1024,32768,91.030910255
111,fwq,1024,0,91.01754172
112,fwq,1024,32768,91.15033949400001
113,fwq,1024,0,90.94686657000001
114,fwq,1024,32768,91.23985676199999
115,fwq,1024,0,90.878748448
116,fwq,1024,32768,91.139367764
117,fwq,1024,0,90.927857476
118,fwq,1024,32768,91.131296359
119,fwq,1024,0,90.811541725
120,spmv,512,32768,561.9428769760001
121,spmv,512,0,562.362500595
122,spmv,512,32768,564.036384596
123,spmv,512,0,563.660237907
124,spmv,512,32768,563.9975507749999
125,spmv,512,0,562.7210721470001
126,spmv,512,32768,564.440112367
127,spmv,512,0,563.698676119
128,spmv,512,32768,563.89483951
129,spmv,512,0,563.8139633940001
130,spmv,512,32768,563.201824016
131,spmv,512,0,562.010118217
132,spmv,512,32768,564.0248017609999
133,spmv,512,0,564.0215186880001
134,spmv,512,32768,564.078262701
135,spmv,512,0,564.0113949680001
136,spmv,512,0,563.727611722
137,spmv,512,32768,563.4583975339999
138,spmv,512,0,562.564221754
139,spmv,512,32768,562.950487922
140,spmv,1024,32768,563.801253898
141,spmv,1024,0,563.4620770610001
142,spmv,1024,32768,564.106364133
143,spmv,1024,0,563.473330089
144,spmv,1024,32768,563.780626472
145,spmv,1024,0,562.800426923
146,spmv,1024,32768,564.741503899
147,spmv,1024,0,563.7706227290001
148,spmv,1024,32768,564.746206125
149,spmv,1024,0,563.836806508
150,hpcg,512,32768,1020.4281028850002
151,hpcg,512,0,1007.9660443360001
152,hpcg,512,32768,1013.7718958169999
153,hpcg,512,0,996.386636073
154,hpcg,512,0,995.9159260060001
155,hpcg,512,32768,1015.6278479800001
156,hpcg,512,32768,1011.4542304389998
157,hpcg,512,0,999.4166009790001
158,hpcg,512,32768,1019.623530678
159,hpcg,512,0,995.029000088
160,hpcg,1024,32768,1021.024384786
161,hpcg,1024,0,1024.565912624
162,hpcg,1024,0,1002.747521604
163,hpcg,1024,32768,1024.4640116659998
164,hpcg,1024,32768,1029.053460737
165,hpcg,1024,0,1007.2488223690001
166,hpcg,1024,32768,1025.614598863
167,hpcg,1024,0,1002.3538794430002
168,hpcg,1024,32768,1024.392756432
169,hpcg,1024,0,1001.4291246770001
